"","Project_Name","Site_Year_Code","Site","Year","Habitat","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Resource_Code","Resource_Name","Percent_Using","Percent_Attempting_to_Harvest","Percent_Harvesting","Percent_Receiving","Percent_Giving","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Lower_Pounds_Harvested","Upper_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Conversion_Units_To_Pounds","Resource_Harvest_Units","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Mean_Grams_Per_Capita_Use","Mean_Pounds_Per_Capita_Use","Mean_Grams_Percapita_Harvest"
"53","Marine Mammals 2007","Craig_2007","Craig","2007","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"54","Marine Mammals 1995","Haines_1995","Haines","1995","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1977.5,1978,1978,1978,NA,NA,56,"Ind.",24,24,NA,NA,NA
"55","Marine Mammals 1996","Haines_1996","Haines","1996","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,3027.5,3460,2705,4215,NA,NA,56,"Ind.",36,41,NA,NA,NA
"56","Marine Mammals 1997","Haines_1997","Haines","1997","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,2317,3041,2353,3729,NA,NA,56,"Ind.",28,37,NA,NA,NA
"57","Marine Mammals 1998","Haines_1998","Haines","1998","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,2404.5,2546,2289,2803,NA,NA,56,"Ind.",29,31,NA,NA,NA
"58","Marine Mammals 2000","Haines_2000","Haines","2000","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1029,1497,515,2478,NA,NA,56,"Ind.",12,17,NA,NA,NA
"59","Marine Mammals 2001","Haines_2001","Haines","2001","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1445.5,1638,1186,2091,NA,NA,56,"Ind.",17,19,NA,NA,NA
"60","Marine Mammals 2002","Haines_2002","Haines","2002","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1225,1602,NA,NA,NA,NA,56,"Ind.",15,20,NA,NA,NA
"61","Marine Mammals 2003","Haines_2003","Haines","2003","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,766.5,1022,NA,NA,NA,NA,56,"Ind.",9,12,NA,NA,NA
"62","Marine Mammals 2004","Haines_2004","Haines","2004","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,588,588,NA,NA,NA,NA,56,"Ind.",7,7,NA,NA,NA
