"","Project_Name","Site_Year_Code","Habitat","General_Category","General_Category_lvl2","Family","Species","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Percent_Of_Total_Harvest","Conversion_Units_To_Pounds","Resource_Harvest_Units","Est_Comm_Population","Type","Site","Year","Genus"
"11","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Non-Salmon Fish","Osmeridae","Silver Smelt",0,0,0,0,0,0,0,"9","Gal.","64",NA,NA,NA,NA
"12","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Bass","Sea Bass",3,4,0.1,0.0625,3,4,0,"1","Ind.","64",NA,NA,NA,NA
"13","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Gadidae","Pacific Cod (gray)",0,0,0,0,0,0,0,"3.2","Ind.","64",NA,NA,NA,NA
"14","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Gadidae","Pacific Tom Cod",0,0,0,0,0,0,0,"0.5","Ind.","64",NA,NA,NA,NA
"15","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Eel","Eel",0,0,0,0,0,0,0,"3.6","Ind.","64",NA,NA,NA,NA
"16","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Flounder","Flounder",0,0,0,0,0,0,0,"3","Lbs.","64",NA,NA,NA,NA
"17","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Flounder","Unknown Flounder",0,0,0,0,0,0,0,"3","Ind.","64",NA,NA,NA,NA
"18","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Hexagrammidae","Lingcod",0,0,0,0,0,0,0,"6.3","Ind.","64",NA,NA,NA,NA
"19","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Halibut","Halibut",306,408,12.7,6.375,306,408,1.4,"1","Lbs.","64",NA,NA,NA,NA
"20","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Rockfish","Black Rockfish",0,0,0,0,0,0,0,"2","Ind.","64",NA,NA,NA,NA
"21","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Rockfish","Red Rockfish",0,0,0,0,0,0,0,"4","Ind.","64",NA,NA,NA,NA
"22","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Rockfish","Yellow Eye Rockfish",0,0,0,0,0,0,0,"3","Ind.","64",NA,NA,NA,NA
"23","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Rockfish","China Rockfish",0,0,0,0,0,0,0,"3","Ind.","64",NA,NA,NA,NA
"24","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Rockfish","Unknown Rockfish",0,0,0,0,0,0,0,"3","Ind.","64",NA,NA,NA,NA
"25","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Sablefish","Sablefish (black cod)",0,0,0,0,0,0,0,"4","Ind.","64",NA,NA,NA,NA
"26","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Sculpin","Buffalo Sculpin",0,0,0,0,0,0,0,"1","Ind.","64",NA,NA,NA,NA
"27","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Sculpin","Red Irish Lord",1,1.3,0,0.020833334,1,1.3,0,"1","Ind.","64",NA,NA,NA,NA
"28","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Sculpin","Unknown Sculpin",0,0,0,0,0,0,0,"1","Ind.","64",NA,NA,NA,NA
"29","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Skates","Skates",0,0,0,0,0,0,0,"5","Ind.","64",NA,NA,NA,NA
"30","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Sole","Sole",0,0,0,0,0,0,0,"1","Ind.","64",NA,NA,NA,NA
"31","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Dolly Varden",36,48,1.5,0.75,12,16,0.1,"3","Ind.","64",NA,NA,NA,NA
"32","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Rainbow Trout",10,13.3,0.4,0.20833333,5,6.6,0,"2","Ind.","64",NA,NA,NA,NA
"33","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Steelhead",0,0,0,0,0,0,0,"8.5","Ind.","64",NA,NA,NA,NA
"34","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Non-Salmon Fish","Whitefish","Whitefish",0,0,0,0,0,0,0,"1.75","Lbs.","64",NA,NA,NA,NA
"35","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Non-Salmon Fish","Whitefish","Unknown Whitefish",0,0,0,0,0,0,0,"1.75","Ind.","64",NA,NA,NA,NA
"36","NPRB Yakutat Comprehensive","Yakutat_2015","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Chum Salmon",200.3,505.8,2.1,0.85483366,32,80.8,0.003,"6.2604","Ind.","591.7",NA,NA,NA,NA
